index;Load(kN);Defor(mm);Stroke(mm);Time(s)
614;8.12;3.0562;3.056;36.835
615;8.14;3.0612;3.061;36.895
616;8.16;3.0662;3.066;36.955
617;8.16;3.0712;3.071;37.015
618;8.18;3.0762;3.076;37.075
619;8.2;3.0812;3.081;37.135
620;8.24;3.0862;3.086;37.195
621;8.26;3.0912;3.091;37.255
622;8.3;3.0962;3.096;37.315
623;8.32;3.1012;3.101;37.375
624;8.36;3.1063;3.106;37.435
625;8.4;3.1112;3.111;37.495
626;8.42;3.1163;3.116;37.555
627;8.46;3.1212;3.121;37.615
628;8.48;3.1263;3.126;37.675
629;8.52;3.1312;3.131;37.735
630;8.56;3.1363;3.136;37.795
631;8.58;3.1412;3.141;37.855
632;8.62;3.1463;3.146;37.915
633;8.64;3.1512;3.151;37.975
634;8.68;3.1562;3.156;38.035
635;8.7;3.1612;3.161;38.095
636;8.74;3.1662;3.166;38.155
637;8.76;3.1712;3.171;38.215
638;8.78;3.1762;3.176;38.275
639;8.82;3.1812;3.181;38.335
640;8.86;3.1875;3.188;38.395
641;8.88;3.1912;3.191;38.455
642;8.92;3.1975;3.197;38.515
643;8.94;3.2012;3.201;38.575
644;8.98;3.2075;3.207;38.635
645;9.02;3.2125;3.212;38.695
646;9.04;3.2175;3.217;38.755
647;9.08;3.2225;3.222;38.815
648;9.12;3.2275;3.227;38.875
649;9.16;3.2325;3.232;38.935
650;9.18;3.2375;3.237;38.995
651;9.22;3.2425;3.242;39.055
652;9.26;3.2475;3.247;39.115
653;9.28;3.2525;3.252;39.175
654;9.32;3.2575;3.257;39.235
655;9.36;3.2625;3.262;39.295
656;9.4;3.2675;3.267;39.355
657;9.42;3.2725;3.273;39.415
658;9.46;3.2775;3.277;39.475
659;9.5;3.2825;3.283;39.535
660;9.52;3.2875;3.287;39.595
661;9.56;3.2925;3.293;39.655
662;9.6;3.2975;3.297;39.715
663;9.62;3.3025;3.303;39.775
664;9.66;3.3075;3.307;39.835
665;9.7;3.3125;3.312;39.895
666;9.72;3.3175;3.317;39.955
667;9.76;3.3225;3.322;40.015
668;9.8;3.3275;3.327;40.075
669;9.84;3.3325;3.332;40.135
670;9.86;3.3375;3.337;40.195
671;9.9;3.3425;3.342;40.255
672;9.94;3.3475;3.347;40.315
673;9.98;3.3525;3.352;40.375
674;10;3.3575;3.357;40.435
675;10.04;3.3625;3.362;40.495
676;10.08;3.3675;3.367;40.555
677;10.12;3.3725;3.372;40.615
678;10.14;3.3775;3.377;40.675
679;10.18;3.3825;3.382;40.735
680;10.2;3.3875;3.387;40.795
681;10.24;3.3925;3.392;40.855
682;10.28;3.3975;3.398;40.915
683;10.32;3.4025;3.402;40.975
684;10.34;3.4075;3.408;41.035
685;10.38;3.4125;3.412;41.095
686;10.42;3.4175;3.418;41.155
687;10.46;3.4225;3.422;41.215
688;10.48;3.4275;3.428;41.275
689;10.52;3.4325;3.432;41.335
690;10.56;3.4375;3.438;41.395
691;10.6;3.4425;3.442;41.455
692;10.62;3.4475;3.447;41.515
693;10.66;3.4525;3.452;41.575
694;10.7;3.4575;3.457;41.635
695;10.74;3.4625;3.462;41.695
696;10.78;3.4675;3.467;41.755
697;10.8;3.4725;3.472;41.815
698;10.84;3.4775;3.477;41.875
699;10.88;3.4825;3.482;41.935
700;10.88;3.485;3.485;41.995
701;10.92;3.49;3.49;42.055
702;10.96;3.495;3.495;42.115
703;11;3.5;3.5;42.175
704;11.04;3.505;3.505;42.235
705;11.08;3.51;3.51;42.295
706;11.12;3.515;3.515;42.355
707;11.14;3.52;3.52;42.415
708;11.18;3.525;3.525;42.475
709;11.22;3.53;3.53;42.535
710;11.26;3.535;3.535;42.595
711;11.3;3.54;3.54;42.655
712;11.32;3.545;3.545;42.715
713;11.36;3.55;3.55;42.775
714;11.4;3.555;3.555;42.835
715;11.44;3.56;3.56;42.895
716;11.48;3.565;3.565;42.955
717;11.5;3.57;3.57;43.015
718;11.54;3.575;3.575;43.075
719;11.58;3.58;3.58;43.135
720;11.62;3.585;3.585;43.195
721;11.66;3.59;3.59;43.255
722;11.7;3.595;3.595;43.315
723;11.74;3.6;3.6;43.375
724;11.76;3.605;3.605;43.435
725;11.8;3.61;3.61;43.495
726;11.84;3.615;3.615;43.555
727;11.88;3.62;3.62;43.615
728;11.92;3.625;3.625;43.675
729;11.96;3.63;3.63;43.735
730;11.98;3.635;3.635;43.795
731;12.02;3.64;3.64;43.855
732;12.06;3.645;3.645;43.915
733;12.1;3.65;3.65;43.975
734;12.14;3.655;3.655;44.035
735;12.18;3.66;3.66;44.095
736;12.22;3.665;3.665;44.155
737;12.26;3.67;3.67;44.215
